wvtr
testname,wvtr
sample,Mysample
thikness,10
duration,1 min:52 sec
durationsecond,112
testtime,16:02:18
testdate,04/03/2022
customerid,N0090
indistry,Textile
application,Hydrophilic
materialclassification,Consolidate
materialtype,Geotextiles
splate,Medium
testdata,15
datatype,5
testtype,Upright
method,Water
tChamber,41.03761348897536,41.03913939116503,41.03761348897536,40.904859998474095,41.03608758678569,41.03761348897536,41.03761348897536,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
hChamber,22.04516670481422,22.092164492256046,22.092164492256046,22.092164492256046,22.092164492256046,22.092164492256046,4.994583047226673,0.0032043945983062485,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985
tBottom,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
hBottom,0.0042725261310749985,0.0042725261310749985,22.979781795986877,22.979781795986877,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985
tTop,50.19760433356222,50.19760433356222,50.19607843137255,50.19607843137255,50.19760433356222,50.19913023575189,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
hTop,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,22.099641412985427,22.099641412985427,22.100709544518196
t,
svp,0.854,0.854,0.854,0.854,0.854,0.854,0.854,-10.248,-10.248,-10.248,-10.248,-10.248,-10.248,-10.248,-10.248
avp,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,-0.04378484779125658,-0.04378484779125658,-0.04378484779125658,-0.04378484779125658,-0.04378484779125658,-226.47712520027466,-226.47712520027466,-226.48807141222247
mass,2.5164124978596308E-5,2.5164002765608677E-5,2.5164124978596308E-5,2.517476205463562E-5,2.5164247192771035E-5,2.5164124978596308E-5,2.5164124978596308E-5,-3.473291470237522E-4,-3.473291470237522E-4,-3.473291470237522E-4,-3.473291470237522E-4,-3.473291470237522E-4,-1.7965600129803583,-1.7965600129803583,-1.796646845267114
