wvtr
testname,wvtr
sample,Mysample
thikness,10
duration,6 min:53 sec
durationsecond,413
testtime,16:34:55
testdate,04/03/2022
customerid,N0090
indistry,Textile
application,Hydrophilic
materialclassification,Unknown
materialtype,Geotextiles
splate,Medium
testdata,60
datatype,5
testtype,Upright
method,Water
tChamber,0.006103608758678569,0.006103608758678569,0.004577706569008927,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
