wvtr
testname,wvtr
sample,Mysample
thikness,10
duration,0 min:39 sec
durationsecond,39
testtime,15:54:32
testdate,04/03/2022
customerid,N0090
indistry,Textile
application,Geotextiles
materialclassification,Consolidate
materialtype,Hydrophilic
splate,Medium
testdata,15
datatype,5000
testtype,Upright
method,Water
tChamber,40.778210116731515,40.901808194094755,40.782787823300524,40.76752880140383,40.903334096284425,40.903334096284425,40.901808194094755,40.76752880140383,40.76752880140383,40.76752880140383,40.76752880140383,40.76752880140383,40.7690547035935,40.76752880140383,40.76752880140383
hChamber,22.185091935606927,22.185091935606927,22.185091935606927,22.185091935606927,22.184023804074158,22.185091935606927,22.185091935606927,22.185091935606927,22.184023804074158,22.185091935606927,22.186160067139696,22.185091935606927,22.185091935606927,22.184023804074158,22.185091935606927
tBottom,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
hBottom,22.980849927519646,22.980849927519646,22.979781795986877,22.980849927519646,22.980849927519646,22.980849927519646,22.980849927519646,22.980849927519646,22.979781795986877,22.980849927519646,22.979781795986877,22.979781795986877,22.979781795986877,22.980849927519646,22.979781795986877
tTop,50.19607843137255,50.19913023575189,50.19760433356222,50.19760433356222,50.19760433356222,50.19760433356222,50.19760433356222,50.19760433356222,50.19913023575189,50.19913023575189,50.19913023575189,50.19913023575189,50.19913023575189,50.19607843137255,50.19760433356222
hTop,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985
t,
svp,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854
avp,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487
mass,2.518491845515767E-5,2.5175006690861493E-5,2.5184551213597937E-5,2.5185775393782758E-5,2.5174884372154247E-5,2.5174884372154247E-5,2.5175006690861493E-5,2.5185775393782758E-5,2.5185775393782758E-5,2.5185775393782758E-5,2.5185775393782758E-5,2.5185775393782758E-5,2.5185652970408812E-5,2.5185775393782758E-5,2.5185775393782758E-5
